title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
KPop Demon Hunters,film,2025-06-20,803796,en,US,96,"Fantasy,Music,Comedy,Animation",2.6921,2.262,1.3768,0,,,,tt14205554,"k pop, pop music, female protagonist, demon, hunter",1,2843987,1,14.86071785,7.6,film,85772,8.214,1883,88.886,19,1,1,702600000,421300000,4,133900000,80300000
Woody Woodpecker Goes to Camp,film,2024-04-12,1239146,en,US,101,"Family,Comedy",3.3792,2.249,1.3692,0,,,,tt20221690,"sequel, second part, based on cartoon, woody woodpecker character, animals family",1,161890,1,11.99467855,4.5,,2780,6.409,182,3.2543,5,1,2,81000000,48600000,4,75600000,45400000
Revelations,film,2025-03-21,1210938,ko,KR,122,"Thriller,Crime,Mystery",2.5445,2.05,1.358,1,,,,tt32648798,"pastor, investigation, case, criminal, murder",1,231169,1,12.35090865,6,film,4408,6.358,176,3.2117,3,1,1,29800000,14600000,3,29800000,14600000
Blood Red Sky,film,2021-07-23,760883,de,"DE,GB",123,"Horror,Thriller,Action",1.6953,1.364,1.3484,0,,,,tt6402468,"vampire, violence, hostage situation, terrorism, flight",1,857530,1,13.66181261,6.1,film,58537,6.813,1647,2.871,16,1,1,139900000,0,4,108070000,0
Blood and Gold,film,2023-05-26,1098110,de,DE,100,"Action,Drama,War",1.5719,1.037,1.3484,0,,,,tt18073328,"world war two, soldier, 1940s, year 1945, period drama",1,,0,,6.5,film,19198,6.6,394,5.1267,0,0,0,0,0,0,0,0
Dangerous Liaisons,film,2022-07-08,968739,fr,"FR,US",109,"Drama,Romance",0.8982,0.574,1.3433,0,,,,tt15548032,"love, instagram, teenager, teen drama, high school",1,,0,,4.2,film,2545,5.904,311,3.0859,4,1,1,34150000,0,4,34150000,0
Havoc,film,2025-04-25,668489,en,"GB,US",107,"Action,Crime,Thriller",5.8585,3.337,1.3414,0,,,,tt14123284,"drug, rescue, murder, survival, redemption",1,1102735,1,13.91330492,5.6,film,61913,6.399,1054,11.0759,6,1,1,142300000,79800000,4,126600000,71000000
Apostle,film,2018-10-12,424121,en,"GB,US",130,"Horror,Mystery",2.7309,1.931,1.3414,0,,,,tt6217306,"folk horror, kidnapped sister, poisoned harvest, murder, secluded community",1,550973,1,13.2194429,6.3,film,62837,6.122,1504,3.871,0,0,0,0,0,0,0,0
Horse Girl,film,2020-02-07,653601,en,US,104,Drama,3.5964,2.927,1.338,0,,,,tt11388406,"schizophrenia, paranoia, mental illness, memory lapse, disorientation",1,617183,1,13.33292248,6,film,20973,5.649,582,8.8819,0,0,0,0,0,0,0,0
The Christmas Chronicles,film,2018-11-22,527435,en,US,104,"Comedy,Adventure,Family,Fantasy",3.7099,2.156,1.3365,0,,,,tt2990140,"christmas, reindeer, christmas spirit, santa's sleigh, brother sister relationship",1,397997,1,12.89420226,7,film,89594,7.148,2286,10.0064,7,1,6,58830000,6400000,0,0,0
Big Nunu's Little Heist,film,2023-07-28,1147049,zu,ZA,91,"Comedy,Crime",1.2798,0.376,1.3365,0,,,,tt24062912,"heist crime, heist, soldier, criminal, gang",1,,0,,4.1,film,287,6.8,11,1.1042,1,1,8,1800000,1200000,1,1800000,1200000
Heart of the Hunter,film,2024-03-29,1181548,en,ZA,108,Action,1.2212,0.618,1.3365,0,,,,tt28943278,"male nudity, spy action, spy thriller, spy, espionage",1,,0,,4.7,film,2221,5.799,122,5.7825,3,1,1,44800000,25000000,3,44800000,25000000
Nyad,film,2023-11-03,895549,en,"CH,US",121,"Drama,History",4.9666,2.203,1.3325,0,,,,tt5302918,"lesbian, swimming, lesbian protagonist, platonic lesbian friendship, friendship between women",1,429335,1,12.96999511,7.1,film,43322,7.095,501,5.9806,2,1,5,21200000,10500000,2,21200000,10500000
Love Wedding Repeat,film,2020-04-10,624808,en,"GB,IT",100,"Comedy,Romance",3.638,2.232,1.3319,0,,,,tt5096470,"wedding guest, cheating lover, italy, marriage, roofie",1,428789,1,12.96872257,5.6,film,22524,5.644,712,2.1866,0,0,0,0,0,0,0,0
Jung E,film,2023-01-20,843794,ko,KR,98,Science Fiction,2.7502,2.299,1.3242,0,,,,tt22352848,"character name as title, future, robot, futuristic, civil war",1,282228,1,12.55047408,5.5,film,11614,6.106,641,4.1246,3,1,1,39800000,0,3,39800000,0
The Fundamentals of Caring,film,2016-06-24,318121,en,US,97,"Comedy,Drama",3.0648,2.45,1.3241,0,,,,tt2452386,"road trip, caregiver, handicapped person, abandoned by father, duchenne muscular dystrophy",1,308379,1,12.63908807,7.3,,85262,7.295,2258,3.5824,0,0,0,0,0,0,0,0
Crazy Awesome Teachers,film,2020-08-17,655832,id,ID,101,"Comedy,Drama",1.477,1.094,1.3204,0,,,,tt10643918,"teacher, school, staff, money",1,7276,1,8.892473968,6.2,film,546,5.3,7,1.5478,0,0,0,0,0,0,0,0
Chupa,film,2023-04-07,736790,en,"MX,US",98,"Adventure,Fantasy,Family",3.3217,1.393,1.3148,0,,,,tt14923260,"young, teenager, young boy, teenage boy, mexico",1,163763,1,12.00618165,5.5,film,7942,6.3,362,4.4976,4,1,2,64930000,0,4,64930000,0
Old Dads,film,2023-10-20,987917,en,US,102,Comedy,3.7937,2.775,1.3146,0,,,,tt18394190,"best friend, culture war, old age, elder, parenting",1,557293,1,13.23084821,6.2,film,45655,6.212,411,13.0285,3,1,1,60000000,34600000,3,60000000,34600000
Khufiya,film,2023-10-05,878926,hi,IN,158,"Crime,Thriller,Mystery",1.9893,1.592,1.3146,0,,,,tt15433600,"lesbian, lgbt, spy, agency, secret",1,582650,1,13.27534366,6.1,film,7955,6.397,39,5.1347,2,1,5,21900000,8300000,2,21900000,8300000
Good Grief,film,2024-01-05,1036619,en,US,101,"Comedy,Drama",2.7904,2.1,1.3087,0,,,,tt19887550,"gay, gay interest, gay relationship, gay couple, gay protagonist",1,331651,1,12.71184151,6.4,film,11628,6.211,142,4.6444,0,0,0,0,0,0,0,0
Fear Street Part 2: 1978,film,2021-07-09,591274,en,US,111,"Horror,Mystery",5.4581,2.905,1.3082,0,,,,tt9701940,"sequel, male nudity, second in trilogy, year 1978, summer camp",1,805976,1,13.59981049,6.7,film,87496,7.189,2110,3.4768,4,1,2,47820000,0,4,47820000,0
Robbing Mussolini,film,2022-10-26,873125,it,IT,99,"Action,Crime,Comedy",3.4324,1.292,1.3068,0,,,,tt14270848,"1940s, milan italy, fascist, criminal, heist",1,15713,1,9.662307314,5.4,film,2857,5.621,253,3.4656,2,1,6,7660000,0,2,7660000,0
Vanished into the Night,film,2024-07-11,1039868,it,IT,93,"Thriller,Mystery,Drama",2.7832,1.073,1.3068,0,,,,tt14034294,"divorce, isolated location, country house, isolated place, bare chested male",1,99353,1,11.50644451,5.2,,5051,5.514,175,1.3701,4,1,1,53100000,34300000,4,53100000,34300000
Bird Box Barcelona,film,2023-07-14,805320,es,"ES,US",112,"Horror,Science Fiction,Thriller",1.4314,1.092,1.3053,0,,,,tt14400246,"creature, spin off, bird, demonic, apocalypse",1,784376,1,13.57264505,5.3,film,27962,5.912,777,5.2228,4,1,1,80200000,42900000,4,80200000,42900000
Good Sam,film,2019-05-16,602609,en,US,90,"Romance,Drama,Comedy",1.6713,1.229,1.2986,0,,,,tt9032888,"new york city, news reporter",1,48914,1,10.79783938,5.8,film,3428,5.964,236,2.505,0,0,0,0,0,0,0,0
Last Bullet,film,2025-05-07,1144430,fr,"BE,FR",111,"Action,Crime,Thriller,Drama",1.2747,1.184,1.2973,0,,,,tt29768333,"sequel, third part, number 3 in title, criminal, police",1,,0,,6.3,film,3360,6.554,240,4.6138,4,1,3,53700000,28500000,4,53700000,28500000
Dolemite Is My Name,film,2019-10-25,528888,en,US,118,"Drama,Comedy,History",3.2342,2.534,1.2972,0,,,,tt8526872,"based on true story, actor, vinyl, blaxploitation filmmaking, film director",1,652296,1,13.38825526,7.2,film,66957,7,1224,4.6675,0,0,0,0,0,0,0,0
The Privilege,film,2022-02-09,926980,de,DE,107,Horror,1.2607,0.939,1.296,0,,,,tt14637290,"lesbianism, occult, drug, spirit medium, threesome",1,109796,1,11.60638849,4.7,,6625,5.142,282,3.678,2,1,2,24820000,0,2,24820000,0
Extraction 2,film,2023-06-16,697843,en,"AT,AU,CA,CZ,DE,ES,GB,US",122,"Action,Thriller,Crime",4.9521,3.595,1.2944,0,,,,tt12263384,"armenia, georgia, georgian, sequel, long take",1,,0,,7,film,165877,7.407,2712,12.6159,7,1,1,254900000,123300000,4,230300000,111400000
AK vs AK,film,2020-12-24,735919,hi,IN,108,"Comedy,Action,Drama,Crime",2.1961,1.338,1.2926,0,,,,tt11651796,"repetition in title, versus in title, three word title, kidnapping, filmmaker",1,374242,1,12.8326606,6.9,film,15418,6.705,56,2.1495,0,0,0,0,0,0,0,0
Amar Singh Chamkila,film,2024-04-12,1086729,hi,IN,146,"Drama,Music",1.9997,1.192,1.2926,0,,,,tt26658272,"pop star, based on real people, 1980s, year 1980, 20th century",1,725591,1,13.49474315,7.8,film,15870,7.727,22,2.0509,2,1,5,12900000,5300000,2,12900000,5300000
Mrs. Serial Killer,film,2020-05-01,601807,hi,IN,106,Thriller,1.7096,1.243,1.2926,0,,,,tt10230426,"serial killer, psycho, love affair, karate, neon lighting",1,313528,1,12.65564714,4,film,19247,6.2,86,0.9317,0,0,0,0,0,0,0,0
Jaane Jaan,film,2023-09-21,950071,hi,"CN,IN,KR,US",139,"Crime,Thriller,Drama",1.6743,1.479,1.2926,0,,,,tt15748830,"single mother, police, investigation, criminal, based on novel",1,676116,1,13.42412142,7,film,16208,7.133,98,3.7719,3,1,1,38000000,16400000,3,38000000,16400000
Don't Look Up,film,2021-12-24,646380,en,US,138,"Comedy,Science Fiction",6.0408,4.371,1.2919,0,,,,tt11286314,"meteorite, asteroid, meteor strike, meteor, comet",1,,0,,7.2,film,645876,7.067,8882,5.6646,8,1,1,389580000,0,4,349910000,0
Leave the World Behind,film,2023-12-08,726209,en,US,140,"Drama,Mystery,Thriller",5.55,3.268,1.2899,0,,,,tt12747748,"civilization collapse, vacation gone wrong, cyber attack, psychological thriller, unknown threat",1,6492268,1,15.68612264,6.4,film,233578,6.377,2968,10.568,5,1,1,304900000,128800000,4,286200000,120900000
Oxygen,film,2021-05-12,471498,fr,"FR,US",100,"Science Fiction,Thriller,Horror",3.0466,1.055,1.283,0,,,,tt6341832,"one person, minimal cast, female protagonist, replicant, oxygen",1,322781,1,12.68473245,6.5,film,46943,6.605,1478,4.6318,0,0,0,0,0,0,0,0
Badland Hunters,film,2024-01-26,933131,ko,KR,107,"Science Fiction,Action,Adventure,Thriller,Horror",4.8114,2.928,1.2757,0,,,,tt29722855,"disaster, post apocalypse, apocalypse, earthquake, wasteland",1,433378,1,12.97936791,5.9,film,12987,6.7,767,6.909,4,1,1,74600000,41000000,4,74600000,41000000
Trouble,film,2024-10-03,1210794,sv,SE,98,"Action,Comedy,Crime",1.246,1.015,1.27,1,,,,tt30217143,"remake, police, criminal, fight, drug",1,,0,,6.2,,7582,6.664,196,4.2261,5,1,2,48800000,29900000,4,46500000,28500000
10 Days of a Curious Man,film,2024-11-07,1169361,tr,TR,110,"Thriller,Drama,Crime",1.4731,1.197,1.2659,0,,,,tt28713370,"cat, sequel, third part, psychological thriller, criminal",1,,0,,5.7,film,1437,6.03,33,1.9871,0,0,0,0,0,0,0,0
10 Days of a Good Man,film,2023-03-03,1073337,tr,TR,124,"Crime,Drama",2.6463,1.649,1.2627,0,,,,tt23334464,"cat, life, gun, parent, criminal",1,,0,,6.5,film,6250,6.5,94,1.8645,2,1,2,14830000,0,2,14830000,0
10 Days of a Bad Man,film,2023-08-18,1074262,tr,TR,124,"Crime,Drama",1.793,1.417,1.2627,0,,,,tt24852002,"sequel, second part, life, criminal, investigation",1,,0,,6.1,film,3261,6.5,113,1.3366,2,1,3,13800000,6600000,2,13800000,6600000
Thelma the Unicorn,film,2024-05-17,739547,en,US,98,"Animation,Fantasy,Family",2.8277,2.415,1.2613,0,,,,tt10442352,"fate, pony, unicorn, pop, cgi animation",1,149505,1,11.9150918,5.7,,3221,6.983,181,2.98,3,1,2,38500000,23600000,3,38500000,23600000
Beats,film,2019-06-19,493141,en,GB,100,"Drama,Comedy,Music",1.8543,1.329,1.2612,0,,,,tt7524414,"1990s, boy boy friendship, rave, electronic music, straight boys kiss",1,,0,,7.1,film,4854,6.615,74,3.2343,0,0,0,0,0,0,0,0
Ballad of a Small Player,film,2025-10-29,1272166,en,"DE,GB",101,"Mystery,Thriller,Crime,Drama",5.7611,3.745,1.26,0,,,,tt32063098,"gambling, casino, five word title, hotel, woman wears glasses",1,282079,1,12.549946,5.8,film,4099,5.939,171,26.8071,0,0,0,0,0,0,0,0
Nobody Knows I'm Here,film,2020-06-24,698432,es,CL,91,Drama,1.23,0.766,1.259,0,,,,tt10728764,"singing, isolation, dancing, hand injury, recluse",1,,0,,6.5,film,5160,6.7,199,1.7012,0,0,0,0,0,0,0,0
Father Christmas Is Back,film,2021-11-07,762469,en,GB,105,"Comedy,Family",2.5829,1.929,1.2589,0,,,,tt13103340,"christmas, father, holiday, mansion, christmas in title",1,138599,1,11.83934737,4.6,film,7910,4.6,164,2.6004,1,1,5,13780000,0,1,13780000,0
Stuck Together,film,2021-10-20,785516,fr,"BE,FR",126,Comedy,1.5053,1.239,1.2544,0,,,,tt13834006,"covid 19, lockdown, zoom, smart, alone",1,147,1,4.997212274,6.3,film,8205,5.887,421,0.7291,4,1,1,29390000,0,4,29390000,0
A Classic Horror Story,film,2021-07-14,768334,it,IT,95,"Horror,Mystery",1.9753,1.589,1.2515,0,,,,tt12877640,"cult, pagan ritual, snuff movie, auto accident, killing a filmmaker",1,169018,1,12.03776641,5.7,film,23310,5.8,1008,3.2846,2,1,3,13150000,0,2,13150000,0
Without Saying Goodbye,film,2022-03-18,944664,es,"ES,PE",96,"Comedy,Romance",1.0369,0.66,1.2436,0,,,,tt14404596,"hotel, vacation, travel, cuzco peru, parent",1,24105,1,10.09021605,5.8,,3758,7.134,157,2.428,3,1,2,30280000,0,3,30280000,0
Sweet Girl,film,2021-08-20,619297,en,US,110,"Action,Thriller,Drama",6.5975,4.015,1.242,0,,,,tt10731768,"death, parents, daughter, justice, girl",1,857361,1,13.66161551,5.5,film,37054,6.609,1244,2.7294,4,1,1,125260000,0,4,125260000,0
Wine Country,film,2019-05-10,513083,en,US,103,Comedy,2.202,1.878,1.2416,0,,,,tt8169446,"reference to fran drescher, reference to billy bob thornton, group of friends, overalls, reference to kesha",1,328861,1,12.70339349,5.5,,24214,5.489,522,14.0946,0,0,0,0,0,0,0,0
Persuasion,film,2022-07-15,820912,en,"GB,US",108,"Romance,Drama,Comedy",4.6705,2.309,1.2411,0,,,,tt13456318,"love, marriage, friend, parent, past",1,468254,1,13.0567683,5.8,film,37238,6.055,624,5.075,3,1,2,68830000,0,3,68830000,0
Time Cut,film,2024-10-30,827931,en,US,90,"Horror,Science Fiction,Thriller",1.5994,1.452,1.2267,0,,,,tt14857528,"lesbian, slasher, time travel, serial killer, high school",1,549428,1,13.21663484,5.1,,21663,5.6,542,3.884,3,1,2,65400000,42700000,3,65400000,42700000
All Quiet on the Western Front,film,2022-10-28,49046,de,DE,147,"War,History,Drama",2.4382,1.528,1.223,0,,,,tt1016150,"world war one, trench warfare, mud, dirt, dying young",1,1361410,1,14.12403222,7.8,film,284238,7.723,4371,7.2482,23,1,1,176490000,0,4,98550000,0
The Ridiculous 6,film,2015-12-11,347969,en,US,119,"Western,Comedy,Action,Adventure",4.3382,3.727,1.2227,0,,,,tt2479478,"baseball, bank robbery, white raised as indian, apache, half brothers",1,1000052,1,13.81556356,4.9,,57442,5.218,1471,3.1542,0,0,0,0,0,0,0,0
The Unforgivable,film,2021-12-10,645886,en,"DE,GB,US",112,"Drama,Crime",4.8504,3.329,1.2179,0,,,,tt11233960,"based on tv series, secret, guilty, sheriff, reconnect",1,1890068,1,14.45212389,7.1,,126120,7.409,1935,12.2145,5,1,1,219550000,0,4,208210000,0
Malcolm & Marie,film,2021-02-05,722913,en,US,106,"Drama,Romance",5.0679,3.579,1.2169,0,,,,tt12676326,"minimal cast, reference to barry jenkins, reference to william wyler, two hander, reference to spike lee",1,,0,,6.6,film,42406,7.019,1421,6.5439,0,0,0,0,0,0,0,0
Da 5 Bloods,film,2020-06-12,581859,en,US,155,"War,Drama",3.3787,1.885,1.2155,0,,,,tt9777644,"vietnam war, 1960s, reciting the 23rd psalm, gunfire, father son relationship",1,889464,1,13.69837544,6.5,film,56595,6.451,1131,5.2533,0,0,0,0,0,0,0,0
Rajma Chawal,film,2018-11-30,494950,hi,IN,129,"Comedy,Drama,Family",1.4518,0.87,1.2116,0,,,,tt6747420,father,1,109383,1,11.60261991,5.7,film,1987,6.5,21,4.2927,0,0,0,0,0,0,0,0
Rainbow,film,2022-09-30,960170,es,ES,117,"Fantasy,Drama,Comedy,Music",3.2098,1.327,1.2042,0,,,,tt14722598,"coming of age, teenager, modern, young, dog",1,12940,1,9.468155845,4.7,film,1170,5.489,44,4.367,0,0,0,0,0,0,0,0
Do Not Disturb,film,2023-09-29,985883,tr,TR,114,"Comedy,Drama",1.2474,1.032,1.2009,0,,,,tt23049270,"dramedy, work, job, hotel, life",1,,0,,6.3,film,11278,6.3,71,2.635,1,1,8,2600000,1400000,1,2600000,1400000
Society of the Snow,film,2024-01-04,906126,es,"ES,US",144,"Drama,History",1.5916,1.06,1.1991,0,,,,tt16277242,"snow, survival, airplane crash, 1970s, airplane accident",1,1737672,1,14.36805742,7.8,film,164568,7.987,3295,3.6201,12,1,1,235900000,96800000,4,182700000,75000000
All Together Now,film,2020-08-28,615466,en,US,92,Drama,2.2764,1.874,1.1977,0,,,,tt3155342,"wheelchair, school, dog, girl, donuts",1,88663,1,11.39260922,6.5,film,5316,6.676,219,1.945,0,0,0,0,0,0,0,0
Lost Girls,film,2020-03-13,567970,en,US,95,"Drama,Mystery,Thriller,History",2.6487,1.851,1.1838,0,,,,tt3111426,"mother daughter relationship, missing person, long island new york, true crime, based on true story",1,530011,1,13.18065493,6.2,film,26045,6.1,736,1.4326,0,0,0,0,0,0,0,0
Drawing Closer,film,2024-06-27,1291559,ja,JP,119,"Romance,Drama",2.8769,2.621,1.1805,0,,,,tt31078761,"love, life, couple, parent, literature on screen",1,3371,1,8.123261319,7.6,film,2864,8.363,172,7.5741,2,1,4,8300000,4200000,2,8300000,4200000
The Sleepover,film,2020-08-21,626393,en,US,101,"Family,Action",3.1795,2.022,1.1793,0,,,,tt10888708,"rescue, sleepover, boy, school, walking into the camera",1,163773,1,12.00624271,5.7,,13065,6.4,419,11.9692,0,0,0,0,0,0,0,0
Ride or Die,film,2021-04-15,796849,ja,"JP,US",142,"Drama,Romance,Thriller",2.8428,2.62,1.176,0,,,,tt14164234,"lesbian love, female full frontal nudity, lesbian cunnilingus, fingering vagina, lesbian sex",1,96236,1,11.47456918,5.6,film,2697,6.683,175,5.7697,0,0,0,0,0,0,0,0
Naked,film,2017-08-11,433251,en,US,96,Comedy,4.3099,2.712,1.169,1,,,,tt6048930,"public nudity, male rear nudity, time loop, male nudity, marathon",1,158762,1,11.9751678,5.4,film,21995,5.8,1302,2.8569,0,0,0,0,0,0,0,0
The Old Guard 2,film,2025-07-02,846422,en,US,107,"Action,Fantasy",4.8217,2.865,1.1676,1,,,,tt14961624,"gay, sequel, second part, based on comic book, superhero",1,1106994,1,13.91715969,5.1,,41505,5.977,779,12.472,4,1,1,112800000,63300000,4,112800000,63300000
A Family Affair,film,2024-06-28,987686,en,US,114,"Romance,Comedy",6.0039,3.776,1.1672,0,,,,tt21051906,"boss, love, older woman younger man relationship, partner, teenage girl",1,741392,1,13.51628613,5.4,film,37772,5.752,680,2.8237,5,1,1,150200000,79100000,4,144000000,75800000
Glass Onion: A Knives Out Mystery,film,2022-12-23,661374,en,US,140,"Comedy,Crime,Mystery",6.5478,4.49,1.1658,0,,,,tt11564570,"murder investigation, gay protagonist, gay, sequel, detective",1,4612395,1,15.34425802,7.1,film,488499,7.038,6173,5.8396,7,1,1,301730000,0,4,273190000,0
Pain Hustlers,film,2023-10-27,862968,en,"GB,US",122,Drama,9.2459,3.766,1.1638,0,,,,tt15257160,"criminal, conspiracy, daughter, job, investigation",1,727481,1,13.49734454,6.6,film,53155,6.648,714,4.2375,4,1,2,77100000,37000000,4,77100000,37000000
A Day and a Half,film,2023-09-01,978783,sv,SE,96,"Drama,Thriller",1.1633,0.791,1.1633,0,,,,tt20414642,"police, daughter, hostage, summer, journey",1,,0,,5.8,film,3350,6.297,123,1.2494,3,1,1,20000000,12500000,3,20000000,12500000
Family Switch,film,2023-11-30,798021,en,US,106,"Comedy,Fantasy,Family",7.0377,3.115,1.1608,0,,,,tt14227048,"body switching, body swap, body swap comedy, christmas, dog walking on hind legs",1,427928,1,12.96671257,5.7,film,28052,6.396,728,9.3768,4,1,2,100000000,56600000,4,100000000,56600000
First Match,film,2018-03-30,502122,en,US,94,Drama,1.5376,0.988,1.147,0,,,,tt6061074,"african american, teenage girl, brooklyn new york city, girl on boys team, wrestling",1,23231,1,10.05328592,6.4,film,2561,6.4,147,1.1871,0,0,0,0,0,0,0,0
22 July,film,2018-10-10,474354,en,US,143,"Crime,Drama,History,Thriller",1.2049,1.001,1.1469,0,,,,tt7280898,"terrorism, island, terrorist, mass murder, massacre",1,718019,1,13.4842527,6.8,film,39571,7.1,1226,2.3388,0,0,0,0,0,0,0,0
Lolo and the Kid,film,2024-08-07,1317887,tl,PH,97,"Drama,Family",1.4656,1.384,1.1451,0,,,,tt32921458,"character name in title, accident, grandfather grandson relationship, robbery",1,91098,1,11.41970211,6.4,film,703,7.742,31,1.961,3,1,2,22300000,13800000,3,22300000,13800000
Godspeed,film,2022-05-23,971647,tr,TR,119,Drama,3.9877,1.54,1.1434,0,,,,tt14766956,"captain, friendship, flashback, depression",1,,0,,6.5,film,3367,6.9,31,1.8585,1,1,8,4640000,0,1,4640000,0
Under Paris,film,2024-06-05,1001311,fr,FR,104,"Action,Horror",1.8255,1.314,1.1431,0,,,,tt13964390,"police, animal, shark, river, city in title",1,392645,1,12.88066372,5.2,,38462,5.932,1347,4.1681,21,1,1,190100000,109800000,4,146700000,84600000
Nice Girls,film,2024-08-21,1180702,fr,FR,92,"Comedy,Crime,Action",1.2942,1.001,1.1431,0,,,,tt29288566,"buddy, buddy comedy, buddy cop, female protagonist, police",1,,0,,4.2,film,1158,5.297,70,1.3983,2,1,3,9200000,6000000,2,9200000,6000000
Love Like the Falling Petals,film,2022-03-24,890322,ja,JP,128,"Drama,Romance",2.798,2.322,1.1418,0,,,,tt14227972,"hairdresser, japanese woman, female hairdresser, aging, going steady",1,16157,1,9.690170562,6.6,film,897,8,96,3.9096,1,1,10,2210000,0,1,2210000,0
Love & Gelato,film,2022-06-22,968438,en,IT,112,"Romance,Comedy,Drama",2.0207,1.154,1.1394,0,,,,tt15521050,"love, italy, life, friend, feel good romance",1,,0,,5.2,film,6827,5.414,233,5.2845,2,1,3,44690000,0,2,44690000,0
Benji,film,2018-03-16,495193,en,"AE,US",87,"Drama,Family,Adventure,Crime",1.481,1.232,1.1394,0,,,,tt1799516,"2010s, dog, dog as protagonist, animal as protagonist, brother sister relationship",1,86698,1,11.37019763,6.4,film,5879,6.927,316,3.3446,0,0,0,0,0,0,0,0
No One Gets Out Alive,film,2021-09-29,740925,en,"RO,US",85,"Horror,Mystery,Thriller",1.2808,1.028,1.136,0,,,,tt13056008,"immigration, hispanic, brothers serial killers, female protagonist, immigrant as protagonist",1,120677,1,11.70088112,5.4,film,23613,5.901,696,3.5334,1,1,4,17010000,0,1,17010000,0
Tramps,film,2017-04-21,412209,en,"GB,US",82,"Comedy,Drama,Romance",2.5723,1.575,1.1355,0,,,,tt4991512,"train, briefcase, new york city subway",1,23603,1,10.06917147,6.5,,6565,6.15,237,1.6489,0,0,0,0,0,0,0,0
Pieces of a Woman,film,2021-01-07,641662,en,"CA,HU,US",127,Drama,4.9577,3.524,1.132,0,,,,tt11161474,"dog, grief, marriage, cemetery, sex",1,961108,1,13.77584311,7,film,58903,7,1265,2.4223,0,0,0,0,0,0,0,0
Under the Riccione Sun,film,2020-07-01,694234,it,IT,102,"Comedy,Romance",1.9878,1.02,1.1295,0,,,,tt10941528,"hit on the head, place in title, beach, teenager, teenage boy",1,24028,1,10.08701671,5.6,,3447,6.2,565,1.0214,0,0,0,0,0,0,0,0
Shimmer Lake,film,2017-06-09,457962,en,"CA,US",83,"Thriller,Crime,Drama,Mystery",2.3011,1.691,1.1246,0,,,,tt1386691,"backwards, pubic hair, sheriff, murder, investigation",1,118688,1,11.68426191,6.3,film,17012,5.892,449,3.59,0,0,0,0,0,0,0,0
Triple Frontier,film,2019-03-13,399361,en,US,125,"Action,Thriller,Crime,Adventure",8.1596,6.243,1.1244,0,,,,tt1488606,"greed, money, theft, boat, chase",1,1468444,1,14.19971458,6.5,,157884,6.323,3400,7.4492,1,1,6,7500000,3600000,0,0,0
Sister Death,film,2023-10-27,955531,es,ES,91,"Drama,Horror",1.1082,0.649,1.1216,0,,,,tt19175696,"post war, supernatural power, haunting, unravel, prequel",1,179112,1,12.09577217,5.7,film,9829,6,342,3.3192,3,1,2,20700000,13600000,3,20700000,13600000
Pedro Páramo,film,2024-11-06,1069387,es,MX,131,"Drama,Fantasy,Western",1.4764,1.375,1.117,0,,,,tt27717667,"ghost town, male pubic hair, male frontal nudity, male full frontal nudity, based on novel",1,,0,,6.3,,3383,6.932,74,6.2027,2,1,3,13600000,6200000,2,13600000,6200000
Uglies,film,2024-09-13,748167,en,US,100,"Science Fiction,Adventure,Action",5.018,2.161,1.1162,0,,,,tt13186604,"based on book series, dystopian future, dystopian society, dystopia, cosmetic surgery",1,771508,1,13.55610362,4.7,,35397,5.753,853,4.6181,4,1,1,101500000,59700000,4,101500000,59700000
The Babysitter,film,2017-10-13,419479,en,US,85,"Comedy,Horror",3.8915,2.502,1.1162,0,,,,tt4225622,"babysitter, bully, egging a house, car theft, first kiss",1,534506,1,13.18910011,6.4,film,116231,6.173,3780,4.2756,0,0,0,0,0,0,0,0
Rose Island,film,2020-12-09,636565,it,IT,120,"Comedy,Adventure",3.2945,1.982,1.114,0,,,,tt10287954,"rimini italy, based on true story, strasbourg france, international waters, civil engineering",1,156519,1,11.96093908,7,film,26576,7.033,1369,3.7633,0,0,0,0,0,0,0,0
Along for the Ride,film,2022-05-06,778106,en,US,106,"Romance,Drama",3.8211,2.534,1.1123,0,,,,tt14506528,"based on novel, new york times, love, high school, college",1,148676,1,11.90953145,6.2,film,9992,6.702,362,4.5017,2,1,4,24150000,0,2,24150000,0
Love Per Square Foot,film,2018-02-14,505175,hi,IN,133,"Comedy,Romance",1.6619,1.159,1.1121,0,,,,tt7853242,"marriage, coming of age drama, romantic comedy, romance",1,3764,1,8.23350314,7.1,film,9247,6.684,122,3.819,0,0,0,0,0,0,0,0
Fear Street Part 1: 1994,film,2021-07-02,591273,en,US,108,"Horror,Mystery",5.9284,2.982,1.1115,0,,,,tt6566576,"lesbian character, murder, killer, witch, year 1994",1,1343525,1,14.11080806,6.2,film,106394,6.689,2515,4.9346,5,1,1,66350000,0,4,59780000,0
